Kaynak_IP,Hedef_IP,Protokol,Kaynak_Port,Hedef_Port,Akis_Paket_Sayisi,Ort_Paket_Uzunlugu,Min_Paket_Uzunlugu,Max_Paket_Uzunlugu,Tekil_Protokol_Sayisi,Akis_Kumesi
0.0.0.0,224.0.0.1,Diğer,Yok,Yok,5,46.0,46,46,1,1
10.255.255.12,192.168.1.166,ICMP,Yok,Yok,10,127.0,120,134,1,1
100.24.112.119,192.168.1.166,TCP,443,52021,12,442.4166666666667,54,1454,1,2
100.27.77.180,192.168.1.166,TCP,443,56558,28,773.0714285714286,54,1454,1,2
100.64.0.1,192.168.1.166,ICMP,Yok,Yok,6,134.0,134,134,1,1
104.103.92.163,192.168.1.166,TCP,443,65429,11,536.1818181818181,54,1454,1,2
104.16.143.237,192.168.1.166,TCP,443,49181,5241,1165.8439229154742,54,1454,1,2
104.16.143.237,192.168.1.166,TCP,443,49182,8,562.625,54,1454,1,2
104.16.143.237,192.168.1.166,TCP,443,49183,10,458.7,54,1454,1,2
104.16.143.237,192.168.1.166,TCP,443,50429,136,715.7352941176471,54,1454,1,2
104.16.143.237,192.168.1.166,TCP,443,56575,9,506.3333333333333,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56544,9,500.8888888888889,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56545,16,311.25,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56546,2361,1391.570097416349,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56547,167,1270.443113772455,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56552,9,498.8888888888889,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56553,9,499.55555555555554,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56554,1941,1346.6723338485317,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56555,10,458.2,54,1454,1,2
104.16.74.19,192.168.1.166,TCP,443,56556,9,498.8888888888889,54,1454,1,2
104.16.75.19,192.168.1.166,TCP,443,50428,296,1284.3783783783783,54,1454,1,2
104.16.75.19,192.168.1.166,TCP,443,56557,728,1231.728021978022,54,1454,1,2
104.16.75.19,192.168.1.166,TCP,443,56560,10,456.2,54,1454,1,2
104.16.75.19,192.168.1.166,TCP,443,56561,9,500.77777777777777,54,1454,1,2
